department,grade,category,category_kor,expected_count,actual_count,missing_count,extra_count,missing_codes,extra_codes,status,api_status,http_code
벤처중소기업학과,1,MAJOR_REQUIRED,전필,26,26,0,0,,,PASS,OK,200
벤처중소기업학과,1,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,1,MAJOR_ELECTIVE,전선,9,9,0,0,,,PASS,OK,200
벤처중소기업학과,2,MAJOR_REQUIRED,전필,17,17,0,0,,,PASS,OK,200
벤처중소기업학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,2,MAJOR_ELECTIVE,전선,28,28,0,0,,,PASS,OK,200
벤처중소기업학과,3,MAJOR_REQUIRED,전필,13,13,0,0,,,PASS,OK,200
벤처중소기업학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,3,MAJOR_ELECTIVE,전선,29,29,0,0,,,PASS,OK,200
벤처중소기업학과,4,MAJOR_REQUIRED,전필,13,13,0,0,,,PASS,OK,200
벤처중소기업학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,4,MAJOR_ELECTIVE,전선,29,29,0,0,,,PASS,OK,200
벤처중소기업학과,5,MAJOR_REQUIRED,전필,13,13,0,0,,,PASS,OK,200
벤처중소기업학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,5,MAJOR_ELECTIVE,전선,9,9,0,0,,,PASS,OK,200
복지경영학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
복지경영학과,1,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
복지경영학과,1,MAJOR_ELECTIVE,전선,12,12,0,0,,,PASS,OK,200
복지경영학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
복지경영학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
복지경영학과,2,MAJOR_ELECTIVE,전선,16,16,0,0,,,PASS,OK,200
복지경영학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
복지경영학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
복지경영학과,3,MAJOR_ELECTIVE,전선,22,22,0,0,,,PASS,OK,200
복지경영학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
복지경영학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
복지경영학과,4,MAJOR_ELECTIVE,전선,25,25,0,0,,,PASS,OK,200
복지경영학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
복지경영학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
복지경영학과,5,MAJOR_ELECTIVE,전선,12,12,0,0,,,PASS,OK,200
불어불문학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
불어불문학과,1,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
불어불문학과,1,MAJOR_ELECTIVE,전선,4,4,0,0,,,PASS,OK,200
불어불문학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
불어불문학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
불어불문학과,2,MAJOR_ELECTIVE,전선,12,12,0,0,,,PASS,OK,200
불어불문학과,3,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
불어불문학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
불어불문학과,3,MAJOR_ELECTIVE,전선,16,16,0,0,,,PASS,OK,200
불어불문학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
불어불문학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
불어불문학과,4,MAJOR_ELECTIVE,전선,18,18,0,0,,,PASS,OK,200
불어불문학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
불어불문학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
불어불문학과,5,MAJOR_ELECTIVE,전선,3,3,0,0,,,PASS,OK,200
사학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
사학과,1,MAJOR_BASIC,전기,4,4,0,0,,,PASS,OK,200
사학과,1,MAJOR_ELECTIVE,전선,8,8,0,0,,,PASS,OK,200
사학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
사학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
사학과,2,MAJOR_ELECTIVE,전선,17,17,0,0,,,PASS,OK,200
사학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
사학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
사학과,3,MAJOR_ELECTIVE,전선,24,24,0,0,,,PASS,OK,200
사학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
사학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
사학과,4,MAJOR_ELECTIVE,전선,25,25,0,0,,,PASS,OK,200
사학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
사학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
사학과,5,MAJOR_ELECTIVE,전선,8,8,0,0,,,PASS,OK,200
사회복지학부,1,MAJOR_REQUIRED,전필,5,5,0,0,,,PASS,OK,200
사회복지학부,1,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
사회복지학부,1,MAJOR_ELECTIVE,전선,26,26,0,0,,,PASS,OK,200
사회복지학부,2,MAJOR_REQUIRED,전필,5,5,0,0,,,PASS,OK,200
사회복지학부,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
사회복지학부,2,MAJOR_ELECTIVE,전선,39,39,0,0,,,PASS,OK,200
사회복지학부,3,MAJOR_REQUIRED,전필,5,5,0,0,,,PASS,OK,200
사회복지학부,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
사회복지학부,3,MAJOR_ELECTIVE,전선,44,44,0,0,,,PASS,OK,200
사회복지학부,4,MAJOR_REQUIRED,전필,5,5,0,0,,,PASS,OK,200
사회복지학부,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
사회복지학부,4,MAJOR_ELECTIVE,전선,46,46,0,0,,,PASS,OK,200
사회복지학부,5,MAJOR_REQUIRED,전필,5,5,0,0,,,PASS,OK,200
사회복지학부,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
사회복지학부,5,MAJOR_ELECTIVE,전선,26,26,0,0,,,PASS,OK,200
소프트웨어학부,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
소프트웨어학부,1,MAJOR_BASIC,전기,22,22,0,0,,,PASS,OK,200
소프트웨어학부,1,MAJOR_ELECTIVE,전선,8,8,0,0,,,PASS,OK,200
소프트웨어학부,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
소프트웨어학부,2,MAJOR_BASIC,전기,11,11,0,0,,,PASS,OK,200
소프트웨어학부,2,MAJOR_ELECTIVE,전선,45,45,0,0,,,PASS,OK,200
소프트웨어학부,3,MAJOR_REQUIRED,전필,2,2,0,0,,,PASS,OK,200
소프트웨어학부,3,MAJOR_BASIC,전기,8,8,0,0,,,PASS,OK,200
소프트웨어학부,3,MAJOR_ELECTIVE,전선,49,49,0,0,,,PASS,OK,200
소프트웨어학부,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
소프트웨어학부,4,MAJOR_BASIC,전기,8,8,0,0,,,PASS,OK,200
소프트웨어학부,4,MAJOR_ELECTIVE,전선,42,42,0,0,,,PASS,OK,200
소프트웨어학부,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
소프트웨어학부,5,MAJOR_BASIC,전기,8,8,0,0,,,PASS,OK,200
소프트웨어학부,5,MAJOR_ELECTIVE,전선,9,9,0,0,,,PASS,OK,200
수학과,1,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
수학과,1,MAJOR_BASIC,전기,4,4,0,0,,,PASS,OK,200
수학과,1,MAJOR_ELECTIVE,전선,5,5,0,0,,,PASS,OK,200
수학과,2,MAJOR_REQUIRED,전필,2,2,0,0,,,PASS,OK,200
수학과,2,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
수학과,2,MAJOR_ELECTIVE,전선,12,12,0,0,,,PASS,OK,200
수학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
수학과,3,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
수학과,3,MAJOR_ELECTIVE,전선,20,20,0,0,,,PASS,OK,200
수학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
수학과,4,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
수학과,4,MAJOR_ELECTIVE,전선,22,22,0,0,,,PASS,OK,200
수학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
수학과,5,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
수학과,5,MAJOR_ELECTIVE,전선,5,5,0,0,,,PASS,OK,200
스포츠학부,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
스포츠학부,1,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
스포츠학부,1,MAJOR_ELECTIVE,전선,30,30,0,0,,,PASS,OK,200
스포츠학부,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
스포츠학부,2,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
스포츠학부,2,MAJOR_ELECTIVE,전선,34,34,0,0,,,PASS,OK,200
스포츠학부,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
스포츠학부,3,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
스포츠학부,3,MAJOR_ELECTIVE,전선,40,40,0,0,,,PASS,OK,200
스포츠학부,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
스포츠학부,4,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
스포츠학부,4,MAJOR_ELECTIVE,전선,43,43,0,0,,,PASS,OK,200
스포츠학부,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
스포츠학부,5,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
스포츠학부,5,MAJOR_ELECTIVE,전선,30,30,0,0,,,PASS,OK,200
신소재공학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
신소재공학과,1,MAJOR_BASIC,전기,15,15,0,0,,,PASS,OK,200
신소재공학과,1,MAJOR_ELECTIVE,전선,7,7,0,0,,,PASS,OK,200
신소재공학과,2,MAJOR_REQUIRED,전필,8,8,0,0,,,PASS,OK,200
신소재공학과,2,MAJOR_BASIC,전기,7,7,0,0,,,PASS,OK,200
신소재공학과,2,MAJOR_ELECTIVE,전선,12,12,0,0,,,PASS,OK,200
신소재공학과,3,MAJOR_REQUIRED,전필,4,4,0,0,,,PASS,OK,200
신소재공학과,3,MAJOR_BASIC,전기,7,7,0,0,,,PASS,OK,200
신소재공학과,3,MAJOR_ELECTIVE,전선,21,21,0,0,,,PASS,OK,200
신소재공학과,4,MAJOR_REQUIRED,전필,4,4,0,0,,,PASS,OK,200
신소재공학과,4,MAJOR_BASIC,전기,7,7,0,0,,,PASS,OK,200
신소재공학과,4,MAJOR_ELECTIVE,전선,23,23,0,0,,,PASS,OK,200
신소재공학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
신소재공학과,5,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
신소재공학과,5,MAJOR_ELECTIVE,전선,5,5,0,0,,,PASS,OK,200
언론홍보학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,1,MAJOR_BASIC,전기,11,11,0,0,,,PASS,OK,200
언론홍보학과,1,MAJOR_ELECTIVE,전선,4,4,0,0,,,PASS,OK,200
언론홍보학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,2,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
언론홍보학과,2,MAJOR_ELECTIVE,전선,24,24,0,0,,,PASS,OK,200
언론홍보학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,3,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
언론홍보학과,3,MAJOR_ELECTIVE,전선,25,25,0,0,,,PASS,OK,200
언론홍보학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,4,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
언론홍보학과,4,MAJOR_ELECTIVE,전선,28,28,0,0,,,PASS,OK,200
언론홍보학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,5,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
언론홍보학과,5,MAJOR_ELECTIVE,전선,4,4,0,0,,,PASS,OK,200
영어영문학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,1,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
영어영문학과,1,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
영어영문학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,2,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
영어영문학과,2,MAJOR_ELECTIVE,전선,13,13,0,0,,,PASS,OK,200
영어영문학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
영어영문학과,3,MAJOR_ELECTIVE,전선,16,16,0,0,,,PASS,OK,200
영어영문학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
영어영문학과,4,MAJOR_ELECTIVE,전선,19,19,0,0,,,PASS,OK,200
영어영문학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
영어영문학과,5,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,1,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,1,MAJOR_ELECTIVE,전선,8,8,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,2,MAJOR_REQUIRED,전필,3,3,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,2,MAJOR_ELECTIVE,전선,15,15,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,3,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,3,MAJOR_ELECTIVE,전선,22,22,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,4,MAJOR_ELECTIVE,전선,25,25,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
예술창작학부 문예창작전공,5,MAJOR_ELECTIVE,전선,8,8,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,1,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,1,MAJOR_ELECTIVE,전선,3,3,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,2,MAJOR_BASIC,전기,4,4,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,2,MAJOR_ELECTIVE,전선,8,8,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,3,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,3,MAJOR_ELECTIVE,전선,15,15,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,4,MAJOR_ELECTIVE,전선,18,18,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
예술창작학부 영화예술전공,5,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
의생명시스템학부,1,MAJOR_REQUIRED,전필,2,2,0,0,,,PASS,OK,200
의생명시스템학부,1,MAJOR_BASIC,전기,11,11,0,0,,,PASS,OK,200
의생명시스템학부,1,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
의생명시스템학부,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
의생명시스템학부,2,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
의생명시스템학부,2,MAJOR_ELECTIVE,전선,14,14,0,0,,,PASS,OK,200
의생명시스템학부,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
의생명시스템학부,3,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
의생명시스템학부,3,MAJOR_ELECTIVE,전선,18,18,0,0,,,PASS,OK,200
의생명시스템학부,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
의생명시스템학부,4,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
의생명시스템학부,4,MAJOR_ELECTIVE,전선,19,19,0,0,,,PASS,OK,200
의생명시스템학부,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
의생명시스템학부,5,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
의생명시스템학부,5,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
일어일문학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
일어일문학과,1,MAJOR_BASIC,전기,4,4,0,0,,,PASS,OK,200
일어일문학과,1,MAJOR_ELECTIVE,전선,5,5,0,0,,,PASS,OK,200
일어일문학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
일어일문학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
일어일문학과,2,MAJOR_ELECTIVE,전선,13,13,0,0,,,PASS,OK,200
일어일문학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
일어일문학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
일어일문학과,3,MAJOR_ELECTIVE,전선,19,19,0,0,,,PASS,OK,200
일어일문학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
일어일문학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
일어일문학과,4,MAJOR_ELECTIVE,전선,21,21,0,0,,,PASS,OK,200
일어일문학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
일어일문학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
