code,name,category,department,target_text,student_type,grade1,grade2,grade3,grade4,grade5,is_strict
2150011701,(외국인을위한)한류와대중문화의이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150011702,(외국인을위한)한류와대중문화의이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150011703,(외국인을위한)한류와대중문화의이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150011704,(외국인을위한)한류와대중문화의이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150011801,(외국인을위한)한국어학의이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150011802,(외국인을위한)한국어학의이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150011803,(외국인을위한)한국어학의이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150011901,(외국인을위한)디지털시대의글쓰기,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150011902,(외국인을위한)디지털시대의글쓰기,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150017601,Advanced Writing and speaking English I,GENERAL_ELECTIVE,벤처경영학과(계약학과),전체,0,1,1,1,1,1,0
2150017801,PC활용,GENERAL_ELECTIVE,벤처경영학과(계약학과),전체,0,1,1,1,1,1,0
2150045001,심리학개론,GENERAL_ELECTIVE,벤처경영학과(계약학과),전체,0,1,1,1,1,1,0
2150045401,현대사회이슈와공동체리더십,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150045901,시민교양을위한정치철학:한나아렌트,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150046001,4차산업혁명과창업,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150049501,철학으로만나는기독교,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150049502,철학으로만나는기독교,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150049503,철학으로만나는기독교,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150049601,한국사회변동과기독교,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150049702,기독교심리:마음을만나다,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150049801,"세계지도와기독교,동서문화교류",GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150051101,인문고전으로서의성서읽기-구약편,GENERAL_ELECTIVE,기독교학과,국내대학 학점교류생 제외,0,1,1,1,1,1,0
2150051201,창의융합인재되기3code전략,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150051401,한국어문화문법을통한한국문화의이해,GENERAL_ELECTIVE,국어국문학과,전체학년 전체 (대상외수강제한),0,1,1,1,1,1,1
2150053601,자율주행소프트웨어,OTHER,AI융합학부,전체,0,1,1,1,1,1,0
2150056601,미래사회와인간의마음이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150057401,프로그래밍기초(Python),GENERAL_ELECTIVE,SW교육팀,"IT융합전공, 컴퓨터, 소프트, AI융합, 글로벌미디어, 정보보호학과 제한",0,1,1,1,1,1,0
2150057402,프로그래밍기초(Python),GENERAL_ELECTIVE,SW교육팀,"IT융합전공, 컴퓨터, 소프트, AI융합, 글로벌미디어, 정보보호학과 제한",0,1,1,1,1,1,0
2150057601,오픈소스를활용한실전창업,GENERAL_ELECTIVE,SW교육팀,"2학년 
3학년 
4학년 (대상외수강제한)",0,0,1,0,0,0,1
2150057601,오픈소스를활용한실전창업,GENERAL_ELECTIVE,SW교육팀,"2학년 
3학년 
4학년 (대상외수강제한)",0,0,0,1,0,0,1
2150057601,오픈소스를활용한실전창업,GENERAL_ELECTIVE,SW교육팀,"2학년 
3학년 
4학년 (대상외수강제한)",0,0,0,0,1,0,1
2150059901,미래융합기술세미나(Entrepreneurship),GENERAL_ELECTIVE,SW교육팀,전체,0,1,1,1,1,1,0
2150060501,(외국인을위한)학술적글쓰기,GENERAL_ELECTIVE,교양교육운영팀,"2학년 ;순수외국인입학생
3학년 ;순수외국인입학생
4학년 ;순수외국인입학생
5학년 ;순수외국인입학생 (대상외수강제한)",1,0,1,0,0,0,1
2150060501,(외국인을위한)학술적글쓰기,GENERAL_ELECTIVE,교양교육운영팀,"2학년 ;순수외국인입학생
3학년 ;순수외국인입학생
4학년 ;순수외국인입학생
5학년 ;순수외국인입학생 (대상외수강제한)",1,0,0,1,0,0,1
2150060501,(외국인을위한)학술적글쓰기,GENERAL_ELECTIVE,교양교육운영팀,"2학년 ;순수외국인입학생
3학년 ;순수외국인입학생
4학년 ;순수외국인입학생
5학년 ;순수외국인입학생 (대상외수강제한)",1,0,0,0,1,0,1
2150060501,(외국인을위한)학술적글쓰기,GENERAL_ELECTIVE,교양교육운영팀,"2학년 ;순수외국인입학생
3학년 ;순수외국인입학생
4학년 ;순수외국인입학생
5학년 ;순수외국인입학생 (대상외수강제한)",1,0,0,0,0,1,1
2150066301,AI시대의경제통상이해,GENERAL_ELECTIVE,글로벌통상학과,전체학년,0,1,1,1,1,1,0
2150066501,현대음악의이론과실제,GENERAL_ELECTIVE,벤처경영학과(계약학과),전체,0,1,1,1,1,1,0
2150069101,글로벌이슈와시민역량,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150069301,공기업취업전략과현장이해,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150070801,스타트업을위한실전SNS마케팅,GENERAL_ELECTIVE,창업교육·지원팀,전체,0,1,1,1,1,1,0
2150071301,클라우드기초(Cloud및K-PaaS),GENERAL_ELECTIVE,SW교육팀,"2학년 
3학년 
4학년 
5학년 (대상외수강제한)",0,0,1,0,0,0,1
2150071301,클라우드기초(Cloud및K-PaaS),GENERAL_ELECTIVE,SW교육팀,"2학년 
3학년 
4학년 
5학년 (대상외수강제한)",0,0,0,1,0,0,1
2150071301,클라우드기초(Cloud및K-PaaS),GENERAL_ELECTIVE,SW교육팀,"2학년 
3학년 
4학년 
5학년 (대상외수강제한)",0,0,0,0,1,0,1
2150071301,클라우드기초(Cloud및K-PaaS),GENERAL_ELECTIVE,SW교육팀,"2학년 
3학년 
4학년 
5학년 (대상외수강제한)",0,0,0,0,0,1,1
2150077801,외국인신입생세미나,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150077802,외국인신입생세미나,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150077803,외국인신입생세미나,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150077804,외국인신입생세미나,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150077805,외국인신입생세미나,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150077806,외국인신입생세미나,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150077901,AI입문,GENERAL_ELECTIVE,차세대반도체학과,전체학년 전체,0,1,1,1,1,1,0
2150078101,생활속의반도체,GENERAL_ELECTIVE,차세대반도체학과,전체학년 전체,0,1,1,1,1,1,0
2150078601,디지털논리회로,MAJOR_ELECTIVE,차세대반도체학과,"2학년 전체
3학년 전체
4학년 전체",0,0,1,0,0,0,0
2150078601,디지털논리회로,MAJOR_ELECTIVE,차세대반도체학과,"2학년 전체
3학년 전체
4학년 전체",0,0,0,1,0,0,0
2150078601,디지털논리회로,MAJOR_ELECTIVE,차세대반도체학과,"2학년 전체
3학년 전체
4학년 전체",0,0,0,0,1,0,0
2150081301,K-사상과역사내러티브,GENERAL_ELECTIVE,숭실학술원 행정팀,전체,0,1,1,1,1,1,0
2150081401,동유럽의사회와문화,GENERAL_ELECTIVE,숭실학술원 행정팀,전체,0,1,1,1,1,1,0
2150081501,서사와메타모포시스,GENERAL_ELECTIVE,숭실학술원 행정팀,전체,0,1,1,1,1,1,0
2150081601,새로배우는한국근대,GENERAL_ELECTIVE,숭실학술원 행정팀,전체,0,1,1,1,1,1,0
2150082101,지식재산과콘텐츠비즈니스,OTHER,의생명시스템학부,전체,0,1,1,1,1,1,0
2150083201,전기회로,MAJOR_ELECTIVE,차세대반도체학과,"2학년 전체
3학년 전체
4학년 전체",0,0,1,0,0,0,0
2150083201,전기회로,MAJOR_ELECTIVE,차세대반도체학과,"2학년 전체
3학년 전체
4학년 전체",0,0,0,1,0,0,0
2150083201,전기회로,MAJOR_ELECTIVE,차세대반도체학과,"2학년 전체
3학년 전체
4학년 전체",0,0,0,0,1,0,0
2150084001,반도체집적공정,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,1,0,0,0
2150084001,반도체집적공정,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,0,1,0,0
2150084002,반도체집적공정,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,1,0,0,0
2150084002,반도체집적공정,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,0,1,0,0
2150084003,반도체집적공정,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,1,0,0,0
2150084003,반도체집적공정,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,0,1,0,0
2150084501,운영체제,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,1,0,0,0
2150084501,운영체제,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,0,1,0,0
2150084601,전자회로,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,1,0,0,0
2150084601,전자회로,MAJOR_ELECTIVE,차세대반도체학과,"3학년 전체
4학년 전체",0,0,0,0,1,0,0
2150085901,인공신경망,MAJOR_ELECTIVE,차세대반도체학과,4학년 전체,0,0,0,0,1,0,0
2150094101,유럽문학과사랑,GENERAL_ELECTIVE,불어불문학과,전체학년,0,1,1,1,1,1,0
2150094401,다문화이해와세계시민,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150094601,인물탐구와비전,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150094701,East Asian Art History,GENERAL_ELECTIVE,교양교육운영팀,전체학년 교환학생(대상외수강제한),1,1,1,1,1,1,1
2150094801,Introduction to Asian Studies,GENERAL_ELECTIVE,교양교육운영팀,전체학년 교환학생(대상외수강제한),1,1,1,1,1,1,1
2150095101,메타버스크리에이팅/마케팅(대학생창직),GENERAL_ELECTIVE,창업교육·지원팀,전체,0,1,1,1,1,1,0
2150099909,[인문적상상력과소통]인문적상상력과데이터기반토론,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150099909,[인문적상상력과소통]인문적상상력과데이터기반토론,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150099909,[인문적상상력과소통]인문적상상력과데이터기반토론,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150099909,[인문적상상력과소통]인문적상상력과데이터기반토론,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150100009,[인문적상상력과소통]융합독서디베이트,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150100009,[인문적상상력과소통]융합독서디베이트,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150100009,[인문적상상력과소통]융합독서디베이트,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150100009,[인문적상상력과소통]융합독서디베이트,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150100109,[인문적상상력과소통]디지털미래세계와소통,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150100109,[인문적상상력과소통]디지털미래세계와소통,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150100109,[인문적상상력과소통]디지털미래세계와소통,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150100109,[인문적상상력과소통]디지털미래세계와소통,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150100319,[인문적상상력과소통]고전읽기와상상력,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150100319,[인문적상상력과소통]고전읽기와상상력,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150100319,[인문적상상력과소통]고전읽기와상상력,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150100319,[인문적상상력과소통]고전읽기와상상력,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150100320,[인문적상상력과소통]고전읽기와상상력,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150100320,[인문적상상력과소통]고전읽기와상상력,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150100320,[인문적상상력과소통]고전읽기와상상력,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150100320,[인문적상상력과소통]고전읽기와상상력,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150100422,[비판적사고와표현]비판적사고와학술적글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150100422,[비판적사고와표현]비판적사고와학술적글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150100422,[비판적사고와표현]비판적사고와학술적글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150100422,[비판적사고와표현]비판적사고와학술적글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150100613,[비판적사고와표현]미디어사회와비평적글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150100613,[비판적사고와표현]미디어사회와비평적글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150100613,[비판적사고와표현]미디어사회와비평적글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150100613,[비판적사고와표현]미디어사회와비평적글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150100825,[비판적사고와표현]기술혁신사회와과학기술글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150100825,[비판적사고와표현]기술혁신사회와과학기술글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150100825,[비판적사고와표현]기술혁신사회와과학기술글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150100825,[비판적사고와표현]기술혁신사회와과학기술글쓰기,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150101415,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150101415,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150101415,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150101415,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150101416,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150101417,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150101418,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150101419,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150101420,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150101421,[인간과성서]인문학과성서,GENERAL_REQUIRED,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
2150101509,비전채플,CHAPEL,학원선교팀,"(수강제한: 1학년 인문,법,사회,경통,경영,자유전공학부)",0,1,1,1,1,1,0
2150101510,비전채플,CHAPEL,학원선교팀,"전체학년 외국국적학생(2~3학년),계약학과(정보보호학과 제외),선취업후진학학과,군위탁,장기해외봉사,현장실습,축구단,장애학생(승인자에 한함) 등 (대상외수강제한)",1,0,1,1,0,0,1
2150101909,[인간과성서]인류문명과기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150101909,[인간과성서]인류문명과기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150101909,[인간과성서]인류문명과기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150101909,[인간과성서]인류문명과기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150102021,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150102021,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150102021,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150102021,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150102022,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150102022,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150102022,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150102022,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150102023,[인간과성서]현대사회이슈와기독교,GENERAL_REQUIRED,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150102213,[글로벌시민의식]세계화와글로벌이슈,GENERAL_REQUIRED,교양교육운영팀,"3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150102213,[글로벌시민의식]세계화와글로벌이슈,GENERAL_REQUIRED,교양교육운영팀,"3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150102213,[글로벌시민의식]세계화와글로벌이슈,GENERAL_REQUIRED,교양교육운영팀,"3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150102417,[글로벌시민의식]글로벌도시이해,GENERAL_REQUIRED,교양교육운영팀,"3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150102417,[글로벌시민의식]글로벌도시이해,GENERAL_REQUIRED,교양교육운영팀,"3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150102417,[글로벌시민의식]글로벌도시이해,GENERAL_REQUIRED,교양교육운영팀,"3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150102867,[컴퓨팅적사고]컴퓨팅적사고와코딩기초,GENERAL_REQUIRED,교양교육운영팀,1학년 전체,0,1,0,0,0,0,0
2150102873,[컴퓨팅적사고]컴퓨팅적사고와코딩기초,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
2150102873,[컴퓨팅적사고]컴퓨팅적사고와코딩기초,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,1,0,0,1
2150102873,[컴퓨팅적사고]컴퓨팅적사고와코딩기초,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,1,0,1
2150102873,[컴퓨팅적사고]컴퓨팅적사고와코딩기초,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,0,0,0,1,1
2150102874,[컴퓨팅적사고]컴퓨팅적사고와코딩기초,GENERAL_REQUIRED,교양교육운영팀,"2학년 전체
3학년 전체
4학년 전체
5학년 전체 (대상외수강제한)",0,0,1,0,0,0,1
